Latitude,Longitude,Applicant
37.7678524427181,-122.416104892532,Pipo's Grill
37.782143532929,-122.43044978594901,Bob Johnson
37.8017914435056,-122.402308963297,Smokin Warehouse Barbecue
37.763292918729,-122.41074477293002,"Del Popolo, LLC."
37.794331003246796,-122.395811053023,Ziaurehman Amini
37.7878896999061,-122.400535326777,The Chai Cart
37.7862510074437,-122.399520766943,Plaza Garibaldy
37.7715637663341,-122.41880150543899,Smokin Warehouse Barbecue
37.7974551567824,-122.399011222821,"Del Popolo, LLC."
37.7325595789318,-122.39206319496901,Bob Johnson
37.7932137316634,-122.397043036718,Ziaurehman Amini
37.776235018471205,-122.418435137885,"Del Popolo, LLC."
37.774259263059996,-122.419485988398,Athena SF Gyro
37.7710219992437,-122.403546254184,Athena SF Gyro
37.7453089086563,-122.40342005999901,Reecees Soulicious
37.7350042289514,-122.39017246969999,Reecees Soulicious
37.7865580501799,-122.40103337535,Spice Affairs
37.7899138671344,-122.405232892524,Spice Affairs
37.7898898782098,-122.399930411351,Halal Cart of San Francisco
37.7917572059444,-122.39889763689199,Halal Cart of San Francisco
37.7834700660829,-122.408040736138,"Halal Cart, LLC"
37.783046099749996,-122.39406659923,Los 2 Cuates
37.742550373559205,-122.49267708221501,Swell Cream & Coffee
37.741290284770706,-122.49437792043501,Swell Cream & Coffee
37.7933707169278,-122.39423328044799,M M Catering
37.72366127950529,-122.43594382523999,Fruteria Serrano
37.753040320194295,-122.38663176353799,M M Catering
37.793304275561,-122.40145899841299,Munch India
37.7528223681215,-122.405531919216,Cochinita
37.766510926908296,-122.40926014493,M M Catering
37.785345676641796,-122.39945527669799,M M Catering
37.7733408773453,-122.422806203983,M M Catering
37.7638066535277,-122.412610953897,M M Catering
37.7988640669494,-122.400263583781,M M Catering
37.7875984155546,-122.404090439434,Mob Dog
37.7516910357229,-122.39437421326299,M M Catering
37.793871507150605,-122.39486523862101,M M Catering
37.774984306068795,-122.40784088806002,M M Catering
37.7865580501799,-122.40103337535,M M Catering
37.7569070856214,-122.39052536813499,M M Catering
37.75472460401279,-122.388456870373,M M Catering
37.7469482955131,-122.40339096031299,Eli's Hot Dogs
37.7255769923986,-122.454152837668,BHUK Burger
37.7416236862353,-122.401547206397,Tacos Santo Toribio
37.777642208509995,-122.393418145932,"Kabob Trolley, LLC"
37.7891192076677,-122.39588103933501,Bonito Poke
37.710841283585296,-122.399642614963,Singh Brothers Ice Cream
37.729438288454,-122.376657800723,Singh Brothers Ice Cream
37.7267279782571,-122.388658428832,Singh Brothers Ice Cream
37.7201747226493,-122.389407114342,Singh Brothers Ice Cream
37.7189398190959,-122.390517872066,Singh Brothers Ice Cream
37.733438811640795,-122.38046754951799,Singh Brothers Ice Cream
37.7303742378628,-122.38186187865699,Singh Brothers Ice Cream
37.726708272962206,-122.3836249172,Singh Brothers Ice Cream
37.722793688759296,-122.391719666472,Singh Brothers Ice Cream
37.727168068782,-122.390029148701,Singh Brothers Ice Cream
37.725450702172296,-122.391991641418,Singh Brothers Ice Cream
37.720449362659394,-122.395915014237,Singh Brothers Ice Cream
37.7104516918675,-122.39614907899599,Singh Brothers Ice Cream
37.7192002177133,-122.395976731096,Singh Brothers Ice Cream
37.7164430021474,-122.389937879321,Singh Brothers Ice Cream
37.7393571608675,-122.39152281175899,Singh Brothers Ice Cream
37.716991290324,-122.38959908417,Singh Brothers Ice Cream
37.7185220485664,-122.396661444417,Singh Brothers Ice Cream
37.7251817007288,-122.38819268844401,Singh Brothers Ice Cream
37.7286714428179,-122.38186508864099,Singh Brothers Ice Cream
37.727744490701106,-122.382107375242,Singh Brothers Ice Cream
37.790548318183205,-122.40033367367901,Taza Halal Cart
37.7871815311957,-122.40793990670099,San Francisco's Hometown Creamery
37.7743376663696,-122.394053286313,Wonder Philly
37.7394454528691,-122.39301498669799,Taqueria Lolita
37.744889286143,-122.390971976935,Taqueria Lolita
37.7662450471029,-122.38735628651101,Bonito Poke
37.787988648995295,-122.396100668472,Bonito Poke
37.7932137316634,-122.397043036718,Golden Gate Halal Food
37.7822807724186,-122.40953118732,Golden Gate Halal Food
37.789249534075104,-122.402418597294,Plaza Garibaldy
37.796123380252105,-122.39727320433799,Wu Wei LLC dba MoBowl
37.7909215072692,-122.400100423738,Plaza Garibaldy
37.7969490060212,-122.402183431894,Akuranvyka USA Inc
37.7800771744392,-122.393767294483,Akuranvyka USA Inc
37.748489384977496,-122.415562670854,Mario's Colombian and Mexican Food
37.7783302557659,-122.411515865268,"Kabob Trolley, LLC"
37.7879549596858,-122.397236543731,Plaza Garibaldy
37.7969137124835,-122.396650675264,Wu Wei LLC dba MoBowl
37.791557864154896,-122.391671499786,Wu Wei LLC dba MoBowl
37.767355021369795,-122.420517913829,Julie's Hot Dogs
37.793304275561,-122.40145899841299,Serendipity SF
37.792323803535105,-122.401497177566,Serendipity SF
37.7588799920148,-122.419379202984,Julie's Hot Dogs
37.7631746196338,-122.419009514771,Julie's Hot Dogs
37.7686819831589,-122.420334571353,Street Meet
37.781596745760204,-122.43485778844,Mang Hang Catering
37.7546149514892,-122.39038813202,Mang Hang Catering
37.7844207368995,-122.418405351782,Mang Hang Catering
37.7791572053411,-122.411615430519,Mang Hang Catering
37.7447521916164,-122.385679248721,Mang Hang Catering
37.7485497942591,-122.416170662008,Mang Hang Catering
37.7456930261204,-122.390714584821,Mang Hang Catering
37.776550042819096,-122.446307635558,Mang Hang Catering
37.7100033342894,-122.471411913129,Mang Hang Catering
37.789826918763296,-122.42112628905599,Mang Hang Catering
37.7807231475444,-122.447789640478,Mang Hang Catering
37.788457028828894,-122.399884160566,Mang Hang Catering
37.7951055609814,-122.400876633726,Mang Hang Catering
37.7824235632947,-122.393236399398,Mang Hang Catering
37.7556370098323,-122.405101930379,Mang Hang Catering
37.7683069928,-122.41200033609199,Mang Hang Catering
37.7609571682785,-122.421824199358,Mang Hang Catering
37.773364053190896,-122.437875225303,The Chef Station
37.77582551975829,-122.41724962664301,The Chef Station
37.7903462473414,-122.401850190989,Ruru Juice LLC
37.757938520741895,-122.418630583281,Julie's Hot Dogs
37.759240285150206,-122.418544171117,Julie's Hot Dogs
37.7876716444879,-122.399762925839,Ruru Juice LLC
37.763690871096,-122.39045738601601,May Catering
37.7599514294279,-122.414049680224,May Catering
37.756717299837106,-122.387648962993,May Catering
37.77582551975829,-122.41724962664301,Senor Sisig
37.7922616341775,-122.403485955391,John's Catering #5
37.7891192076677,-122.39588103933501,John's Catering #5
37.7438311721327,-122.377797368962,Quan Catering
37.7441784473757,-122.386715929759,Quan Catering
37.7666247727157,-122.429511176347,BH & MT LLC
37.7093754640014,-122.404154378509,Quan Catering
37.7555344716039,-122.39392527753901,F & C Catering
37.7732879404704,-122.440032316635,Liang Bai Ping
37.7232598663241,-122.39117288596901,Liang Bai Ping
37.794929095049895,-122.443832982483,D & T Catering
37.7904067199405,-122.399275886086,The Chai Cart
37.7259455580465,-122.382281153253,Liang Bai Ping
37.7377268665958,-122.376572914573,F & C Catering
37.7533808099749,-122.386367685857,F & C Catering
37.7955856498634,-122.44171824428801,D & T Catering
37.7908384194517,-122.401160370299,Curry Up Now
37.764038182817394,-122.41375751658899,May Catering
37.7899082332987,-122.45676253398199,D & T Catering
37.7410262077887,-122.387792927994,Park's Catering
37.77812837973379,-122.418652129997,John's Catering #5
37.786856111883104,-122.406891892997,"The New York Frankfurter Co. of CA, Inc. DBA: Annie's Hot Dogs"
37.7666898573867,-122.39718232278,May Catering
37.7851109204478,-122.407422668277,Creme Brulee To Go
37.7272121739004,-122.399636251644,Anas Goodies Catering
37.789391976102706,-122.401824747121,"San Francisco Street Foods, Inc."
37.7636598013494,-122.389133857405,Anas Goodies Catering
